역명,호선,측정일시,초미세먼지(내부),운행횟수,자치구,초미세먼지(외부)
남구로(7),7호선,2021042714,38.4,420.0,구로구,22.0
온수(7),7호선,2021042714,25.2,420.0,구로구,22.0
천왕(7),7호선,2021042714,42.8,420.0,구로구,22.0
도림천(2),2호선,2021042715,48.9,212.0,구로구,
신도림(2),2호선,2021042715,29.2,736.0,구로구,
남구로(7),7호선,2021042715,33.1,420.0,구로구,
온수(7),7호선,2021042715,27.4,420.0,구로구,
천왕(7),7호선,2021042715,37.5,420.0,구로구,
도림천(2),2호선,2021042716,51.4,212.0,구로구,24.0
신도림(2),2호선,2021042716,36.2,736.0,구로구,24.0
남구로(7),7호선,2021042716,28.4,420.0,구로구,24.0
온수(7),7호선,2021042716,26.8,420.0,구로구,24.0
천왕(7),7호선,2021042716,40.2,420.0,구로구,24.0
도림천(2),2호선,2021042717,31.2,212.0,구로구,20.0
신도림(2),2호선,2021042717,33.4,736.0,구로구,20.0
남구로(7),7호선,2021042717,29.7,420.0,구로구,20.0
온수(7),7호선,2021042717,21.3,420.0,구로구,20.0
천왕(7),7호선,2021042717,34.6,420.0,구로구,20.0
도림천(2),2호선,2021042718,22.3,212.0,구로구,15.0
신도림(2),2호선,2021042718,32.2,736.0,구로구,15.0
