역명,호선,측정일시,초미세먼지(내부),운행횟수,자치구,초미세먼지(외부)
서초(2),2호선,2021042709,91.4,524.0,서초구,15.0
고속터미널(3),3호선,2021042709,21.9,272.0,서초구,15.0
교대(3),3호선,2021042709,16.1,272.0,서초구,15.0
남부터미널(3),3호선,2021042709,35.4,272.0,서초구,15.0
양재(3),3호선,2021042709,53.7,272.0,서초구,15.0
잠원(3),3호선,2021042709,50.4,272.0,서초구,15.0
남태령(4),4호선,2021042709,100.5,307.0,서초구,15.0
고속터미널(7),7호선,2021042709,18.2,420.0,서초구,15.0
내방(7),7호선,2021042709,24.7,420.0,서초구,15.0
반포(7),7호선,2021042709,26.3,420.0,서초구,15.0
교대(2),2호선,2021042710,39.2,524.0,서초구,15.0
방배(2),2호선,2021042710,101.4,524.0,서초구,15.0
서초(2),2호선,2021042710,91.9,524.0,서초구,15.0
고속터미널(3),3호선,2021042710,14.4,272.0,서초구,15.0
교대(3),3호선,2021042710,15.1,272.0,서초구,15.0
남부터미널(3),3호선,2021042710,28.1,272.0,서초구,15.0
양재(3),3호선,2021042710,43.3,272.0,서초구,15.0
잠원(3),3호선,2021042710,31.8,272.0,서초구,15.0
남태령(4),4호선,2021042710,82.9,307.0,서초구,15.0
고속터미널(7),7호선,2021042710,15.9,420.0,서초구,15.0
내방(7),7호선,2021042710,19.3,420.0,서초구,15.0
반포(7),7호선,2021042710,18.6,420.0,서초구,15.0
교대(2),2호선,2021042711,25.4,524.0,서초구,9.0
방배(2),2호선,2021042711,91.0,524.0,서초구,9.0
서초(2),2호선,2021042711,51.9,524.0,서초구,9.0
고속터미널(3),3호선,2021042711,20.6,272.0,서초구,9.0
교대(3),3호선,2021042711,17.6,272.0,서초구,9.0
남부터미널(3),3호선,2021042711,20.6,272.0,서초구,9.0
양재(3),3호선,2021042711,34.0,272.0,서초구,9.0
잠원(3),3호선,2021042711,23.3,272.0,서초구,9.0
남태령(4),4호선,2021042711,68.4,307.0,서초구,9.0
고속터미널(7),7호선,2021042711,14.9,420.0,서초구,9.0
내방(7),7호선,2021042711,22.9,420.0,서초구,9.0
반포(7),7호선,2021042711,26.6,420.0,서초구,9.0
